3/133/9|slabdrill|https://cdn.discordapp.com/attachments/278710335060312065/1278902633876291666/image.png?ex=66d27e64&is=66d12ce4&hm=7688d65dcecb009c181eac208426a16e782eb25a2737830cd8799bdbafb1f8e8&|CP
3/141/4|Community|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-3-141-4.png|
3/142/3|Community|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-3-142-3.png|CL
4/125/9|llamadeus|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-4-125-9.png|
4/132/5|CrystalShyps|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-4-132-5.png|
4/133/4|llamadeus|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-4-133-4.png|
4/174/1|Community|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-4-174-1.png|LC
5/119/2|hersmunch|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-5-119-2.png|
6/97/3|Community|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-6-97-3.png|PC,PL
8/120/1|837951602|https://raw.githubusercontent.com/837951602/shenzhenIO-leaderboard-images/master/Images/diagnostic-pulse-generator-8-120-1.png|LP
